,Country,HappinessScore,Year,Region,Code
1,Switzerland,7.587,2015,Western Europe,CHE
2,Iceland,7.561,2015,Western Europe,ISL
3,Denmark,7.527,2015,Western Europe,DNK
4,Norway,7.522,2015,Western Europe,NOR
5,Canada,7.427,2015,North America,CAN
6,Finland,7.406,2015,Western Europe,FIN
7,Netherlands,7.378,2015,Western Europe,NLD
8,Sweden,7.364,2015,Western Europe,SWE
9,New Zealand,7.286,2015,Australia and New Zealand,NZL
10,Australia,7.284,2015,Australia and New Zealand,AUS
11,Israel,7.278,2015,Middle East and Northern Africa,ISR
12,Costa Rica,7.226,2015,Latin America and Caribbean,CRI
13,Austria,7.2,2015,Western Europe,AUT
14,Mexico,7.187,2015,Latin America and Caribbean,MEX
15,United States,7.119,2015,North America,USA
16,Brazil,6.983,2015,Latin America and Caribbean,BRA
17,Luxembourg,6.946,2015,Western Europe,LUX
18,Ireland,6.94,2015,Western Europe,IRL
19,Belgium,6.937,2015,Western Europe,BEL
20,United Arab Emirates,6.901,2015,Middle East and Northern Africa,ARE
21,United Kingdom,6.867,2015,Western Europe,GBR
22,Oman,6.853,2015,Middle East and Northern Africa,OMN
23,Venezuela,6.81,2015,Latin America and Caribbean,VEN
24,Singapore,6.798,2015,Southeastern Asia,SGP
25,Panama,6.786,2015,Latin America and Caribbean,PAN
26,Germany,6.75,2015,Western Europe,DEU
27,Chile,6.67,2015,Latin America and Caribbean,CHL
28,Qatar,6.611,2015,Middle East and Northern Africa,QAT
29,France,6.575,2015,Western Europe,FRA
30,Argentina,6.574,2015,Latin America and Caribbean,ARG
31,Czech Republic,6.505,2015,Central and Eastern Europe,CZE
32,Uruguay,6.485,2015,Latin America and Caribbean,URY
33,Colombia,6.477,2015,Latin America and Caribbean,COL
34,Thailand,6.455,2015,Southeastern Asia,THA
35,Saudi Arabia,6.411,2015,Middle East and Northern Africa,SAU
36,Spain,6.329,2015,Western Europe,ESP
37,Malta,6.302,2015,Western Europe,MLT
38,Taiwan,6.298,2015,Eastern Asia,TWN
39,Kuwait,6.295,2015,Middle East and Northern Africa,KWT
40,Suriname,6.269,2015,Latin America and Caribbean,SUR
41,Trinidad and Tobago,6.168,2015,Latin America and Caribbean,TTO
42,El Salvador,6.13,2015,Latin America and Caribbean,SLV
43,Guatemala,6.123,2015,Latin America and Caribbean,GTM
44,Uzbekistan,6.003,2015,Central and Eastern Europe,UZB
45,Slovakia,5.995,2015,Central and Eastern Europe,SVK
46,Japan,5.987,2015,Eastern Asia,JPN
47,South Korea,5.984,2015,Eastern Asia,KOR
48,Ecuador,5.975,2015,Latin America and Caribbean,ECU
49,Bahrain,5.96,2015,Middle East and Northern Africa,BHR
50,Italy,5.948,2015,Western Europe,ITA
51,Bolivia,5.89,2015,Latin America and Caribbean,BOL
52,Moldova,5.889,2015,Central and Eastern Europe,MDA
53,Paraguay,5.878,2015,Latin America and Caribbean,PRY
54,Kazakhstan,5.855,2015,Central and Eastern Europe,KAZ
55,Slovenia,5.848,2015,Central and Eastern Europe,SVN
56,Lithuania,5.833,2015,Central and Eastern Europe,LTU
57,Nicaragua,5.828,2015,Latin America and Caribbean,NIC
58,Peru,5.824,2015,Latin America and Caribbean,PER
59,Belarus,5.813,2015,Central and Eastern Europe,BLR
60,Poland,5.791,2015,Central and Eastern Europe,POL
61,Malaysia,5.77,2015,Southeastern Asia,MYS
62,Croatia,5.759,2015,Central and Eastern Europe,HRV
63,Libya,5.754,2015,Middle East and Northern Africa,LBY
64,Russia,5.716,2015,Central and Eastern Europe,RUS
65,Jamaica,5.709,2015,Latin America and Caribbean,JAM
66,North Cyprus,5.695,2015,Western Europe,CYP
67,Cyprus,5.689,2015,Western Europe,CYP
68,Algeria,5.605,2015,Middle East and Northern Africa,DZA
69,Kosovo,5.589,2015,Central and Eastern Europe,KSV
70,Turkmenistan,5.548,2015,Central and Eastern Europe,TKM
71,Mauritius,5.477,2015,Sub-Saharan Africa,MUS
72,Hong Kong,5.474,2015,Eastern Asia,HKG
73,Estonia,5.429,2015,Central and Eastern Europe,EST
74,Indonesia,5.399,2015,Southeastern Asia,IDN
75,Vietnam,5.36,2015,Southeastern Asia,VNM
76,Turkey,5.332,2015,Middle East and Northern Africa,TUR
